frame,support_len,confidence_sum
605,9,8.891273
606,11,10.466921
607,9,8.498045
608,9,8.021867
609,8,7.882816
610,10,9.786072
611,8,7.837251
612,9,8.845599
613,9,8.817146
614,10,9.806082
615,9,8.775260
616,10,9.501562
617,9,8.746479
618,10,9.775222
619,9,8.008696
620,9,8.872901
621,10,9.808627
622,10,9.736332
623,8,7.746479
624,10,9.912149
625,9,8.009478
626,11,10.736085
627,9,8.671288
628,11,10.681905
629,10,9.258374
630,10,9.627607
631,10,9.639831
632,9,8.675847
633,11,10.610169
634,9,8.666469
635,11,10.605039
636,9,8.657505
637,11,9.732905
638,9,8.178828
639,11,9.980147
640,10,8.408173
641,10,8.413174
642,10,8.774064
643,10,9.130587
644,9,7.921822
645,11,9.849429
646,9,7.564458
647,11,9.258907
648,10,8.414506
649,10,9.740065
650,9,7.773866
651,11,9.847453
652,10,8.425823
653,9,7.573127
654,11,9.256162
655,9,8.174557
656,10,9.826974
657,10,9.840185
658,9,8.854746
659,8,7.910299
660,9,8.869086
661,9,7.991803
662,9,8.865281
663,9,8.831935
664,10,9.883738
665,8,7.926884
666,10,9.816412
667,9,8.912606
668,9,8.833519
669,10,9.783077
670,10,9.893192
671,9,8.869638
672,9,7.985858
673,10,9.575311
674,10,9.539968
675,9,8.802071
676,9,8.758456
677,9,8.776591
678,9,8.900826
679,10,9.942542
680,9,8.939025
681,9,8.885757
682,9,8.553095
683,8,7.315925
684,9,7.539100
685,10,8.385071
686,10,8.379504
687,9,8.879545
688,9,8.849276
689,11,10.876406
690,10,9.898431
691,9,8.903996
692,9,8.873444
693,10,9.827386
694,10,9.842185
695,9,8.890475
696,10,9.750440
697,9,8.904319
698,9,8.912899
699,10,9.882748
700,9,8.004828
701,10,9.785116
702,9,8.843337
703,9,8.858982
704,9,8.824834
705,10,9.854443
706,9,8.871784
707,9,8.891772
708,10,9.786903
709,9,8.779754
710,9,8.865258
711,9,8.680803
712,9,8.587809
713,10,9.269950
714,9,8.742984
715,9,8.002899
716,10,9.902694
717,9,8.914576
718,10,9.861982
719,8,7.890377
720,10,8.475705
721,10,8.855791
722,9,7.686000
723,10,8.378156
724,9,8.881864
725,10,9.615654
726,9,8.657596
727,9,8.348893
728,10,9.591338
729,10,9.642857
730,10,9.847699
731,10,9.840429
732,9,8.885540
733,10,8.894027
734,9,8.001296
735,10,9.746970
736,9,8.756370
737,9,8.669846
738,10,9.608549
739,9,8.718893
740,10,9.747814
